Initial Cost	Cost	Total iterations	Partial iterations	k	lambda
629744.0	389715.0	2000	700	5.0	0.001
629744.0	338486.0	2000	700	5.0	0.01
629744.0	319854.0	2000	700	5.0	0.1
629744.0	358647.0	2000	700	5.0	1.0
629744.0	376922.0	2000	700	25.0	0.001
629744.0	341312.0	2000	700	25.0	0.01
629744.0	324441.0	2000	700	25.0	0.1
629744.0	374078.0	2000	700	25.0	1.0
629744.0	334251.0	2000	700	125.0	0.001
629744.0	345630.0	2000	700	125.0	0.01
629744.0	337232.0	2000	700	125.0	0.1
629744.0	368736.0	2000	700	125.0	1.0
629744.0	421420.0	2000	800	1.0	0.001
629744.0	316855.0	2000	800	1.0	0.01
629744.0	304838.0	2000	800	1.0	0.1
629744.0	421136.0	2000	800	1.0	1.0
629744.0	348835.0	2000	800	5.0	0.001
629744.0	345823.0	2000	800	5.0	0.01
629744.0	353367.0	2000	800	5.0	0.1
629744.0	430427.0	2000	800	5.0	1.0
629744.0	343534.0	2000	800	25.0	0.001
629744.0	353301.0	2000	800	25.0	0.01
629744.0	337527.0	2000	800	25.0	0.1
629744.0	411105.0	2000	800	25.0	1.0
629744.0	350399.0	2000	800	125.0	0.001
629744.0	328313.0	2000	800	125.0	0.01
629744.0	342686.0	2000	800	125.0	0.1
629744.0	453875.0	2000	800	125.0	1.0
629744.0	353581.0	2000	900	1.0	0.001
629744.0	347335.0	2000	900	1.0	0.01
629744.0	368487.0	2000	900	1.0	0.1
629744.0	404651.0	2000	900	1.0	1.0
629744.0	318211.0	2000	900	5.0	0.001
629744.0	402649.0	2000	900	5.0	0.01
629744.0	356737.0	2000	900	5.0	0.1
629744.0	391257.0	2000	900	5.0	1.0
629744.0	386718.0	2000	900	25.0	0.001
629744.0	432221.0	2000	900	25.0	0.01
629744.0	410972.0	2000	900	25.0	0.1
629744.0	426522.0	2000	900	25.0	1.0
629744.0	312770.0	2000	900	125.0	0.001
629744.0	378364.0	2000	900	125.0	0.01
629744.0	328080.0	2000	900	125.0	0.1
629744.0	485888.0	2000	900	125.0	1.0
629744.0	358634.0	2000	1000	1.0	0.001
629744.0	333443.0	2000	1000	1.0	0.01
629744.0	329505.0	2000	1000	1.0	0.1
629744.0	402872.0	2000	1000	1.0	1.0
629744.0	450494.0	2000	1000	5.0	0.001
629744.0	345809.0	2000	1000	5.0	0.01
629744.0	416348.0	2000	1000	5.0	0.1
629744.0	413457.0	2000	1000	5.0	1.0
629744.0	325197.0	2000	1000	25.0	0.001
629744.0	296140.0	2000	1000	25.0	0.01
629744.0	329119.0	2000	1000	25.0	0.1
629744.0	404401.0	2000	1000	25.0	1.0
629744.0	341640.0	2000	1000	125.0	0.001
629744.0	330113.0	2000	1000	125.0	0.01
629744.0	350256.0	2000	1000	125.0	0.1
629744.0	364493.0	2000	1000	125.0	1.0
629744.0	318086.0	3000	100	1.0	0.001
629744.0	294520.0	3000	100	1.0	0.01
629744.0	306508.0	3000	100	1.0	0.1
629744.0	434737.0	3000	100	1.0	1.0
629744.0	367311.0	3000	100	5.0	0.001
629744.0	301835.0	3000	100	5.0	0.01
629744.0	300292.0	3000	100	5.0	0.1
629744.0	411945.0	3000	100	5.0	1.0
629744.0	301944.0	3000	100	25.0	0.001
629744.0	316943.0	3000	100	25.0	0.01
629744.0	303940.0	3000	100	25.0	0.1
629744.0	447448.0	3000	100	25.0	1.0
629744.0	296849.0	3000	100	125.0	0.001
629744.0	389594.0	3000	100	125.0	0.01
629744.0	317055.0	3000	100	125.0	0.1
629744.0	395456.0	3000	100	125.0	1.0
629744.0	315133.0	3000	200	1.0	0.001
629744.0	296774.0	3000	200	1.0	0.01
629744.0	303261.0	3000	200	1.0	0.1
629744.0	435846.0	3000	200	1.0	1.0
629744.0	299659.0	3000	200	5.0	0.001
629744.0	316341.0	3000	200	5.0	0.01
629744.0	310016.0	3000	200	5.0	0.1
629744.0	444928.0	3000	200	5.0	1.0
629744.0	309726.0	3000	200	25.0	0.001
629744.0	311403.0	3000	200	25.0	0.01
