Time	Total iterations	Partial iterations	k	lambda
31	6000	700	1.0	0.1
17	6000	700	1.0	1.0
19	6000	700	5.0	0.001
31	6000	700	5.0	0.01
31	6000	700	5.0	0.1
0	6000	700	5.0	1.0
36	6000	700	25.0	0.001
16	6000	700	25.0	0.01
31	6000	700	25.0	0.1
15	6000	700	25.0	1.0
16	6000	700	125.0	0.001
41	6000	700	125.0	0.01
29	6000	700	125.0	0.1
6	6000	700	125.0	1.0
17	6000	800	1.0	0.001
32	6000	800	1.0	0.01
20	6000	800	1.0	0.1
0	6000	800	1.0	1.0
16	6000	800	5.0	0.001
31	6000	800	5.0	0.01
31	6000	800	5.0	0.1
0	6000	800	5.0	1.0
36	6000	800	25.0	0.001
32	6000	800	25.0	0.01
